epoch,train_loss,dev_entity_p,dev_entity_r,dev_entity_f1,dev_token_p,dev_token_r,dev_token_f1
1,15.597315,0.000000,0.000000,0.000000,0.019763,0.006431,0.009704
2,8.416201,0.029333,0.070064,0.041353,0.122890,0.175563,0.144578
3,5.989180,0.094439,0.191083,0.126404,0.252485,0.204180,0.225778
4,4.732985,0.146413,0.212314,0.173310,0.270934,0.198714,0.229271
5,3.780094,0.196468,0.188960,0.192641,0.283852,0.217042,0.245991
6,3.141658,0.199706,0.288747,0.236111,0.286693,0.322830,0.303690
7,2.715337,0.201117,0.305732,0.242628,0.265550,0.372026,0.309897
8,2.311291,0.284946,0.225053,0.251483,0.322807,0.207074,0.252302
9,2.073418,0.187328,0.288747,0.227235,0.273403,0.295820,0.284170
10,1.826356,0.198839,0.290870,0.236207,0.255291,0.310289,0.280116
11,1.571866,0.215768,0.331210,0.261307,0.255891,0.373633,0.303751
12,1.127034,0.254864,0.278132,0.265990,0.319584,0.286495,0.302136
13,1.067318,0.230769,0.280255,0.253116,0.301657,0.286817,0.294050
14,1.003991,0.261339,0.256900,0.259101,0.309198,0.254019,0.278906
15,0.949388,0.232955,0.261146,0.246246,0.298969,0.270418,0.283978
16,0.917137,0.247788,0.237792,0.242687,0.314465,0.241158,0.272975
17,0.914569,0.235294,0.246285,0.240664,0.298711,0.253376,0.274182
