epoch,loss,ent_p,ent_r,ent_f1,tok_p,tok_r,tok_f1
1,11.297207,0.250464,0.287234,0.267592,0.377787,0.295257,0.331462
2,6.748866,0.412281,0.200000,0.269341,0.669554,0.174572,0.276939
3,5.201784,0.323420,0.370213,0.345238,0.466412,0.353985,0.402495
4,3.725394,0.399582,0.406383,0.402954,0.507573,0.400129,0.447492
5,2.850441,0.406040,0.257447,0.315104,0.492711,0.272669,0.351059
1,16.371203,0.189041,0.293617,0.230000,0.336393,0.473056,0.393188
2,10.231142,0.261246,0.321277,0.288168,0.457965,0.384963,0.418303
3,7.327286,0.284595,0.231915,0.255569,0.428884,0.442723,0.435694
4,5.299773,0.257722,0.568085,0.354582,0.339257,0.622136,0.439080
5,3.578818,0.340949,0.412766,0.373436,0.405925,0.428848,0.417072
1,223.934960,0.378431,0.410638,0.393878,0.433513,0.363988,0.395720
2,221.587759,0.386473,0.510638,0.439963,0.418456,0.465311,0.440642
3,220.445062,0.348534,0.227660,0.275418,0.305438,0.420458,0.353836
4,220.063437,0.355556,0.510638,0.419214,0.268376,0.533721,0.357158
5,219.553032,0.325213,0.568085,0.413633,0.328585,0.565666,0.415698
6,219.316738,0.428274,0.438298,0.433228,0.454911,0.402065,0.426859
